iter	Passed	Remaining
0	1	1130
1	2	1254
2	3	1059
3	4	1013
4	5	1064
5	6	1108
6	8	1142
7	9	1167
8	10	1190
9	11	1150
10	13	1178
11	15	1242
12	15	1213
13	17	1216
14	18	1231
15	20	1238
16	21	1232
17	22	1240
18	24	1240
19	24	1209
20	25	1199
21	26	1185
22	28	1189
23	28	1178
24	30	1191
25	31	1195
26	32	1186
27	33	1180
28	35	1172
29	36	1166
30	37	1158
31	37	1148
32	38	1140
33	39	1120
34	40	1115
35	42	1130
36	43	1127
37	43	1109
38	44	1106
39	45	1092
40	46	1085
41	47	1076
42	47	1067
43	48	1057
44	49	1049
45	49	1031
46	50	1022
47	51	1014
48	51	1005
49	52	996
50	52	982
51	53	973
52	54	967
53	54	959
54	55	952
55	56	950
56	57	944
57	57	936
58	58	929
59	58	923
60	59	916
61	60	910
62	60	903
63	61	896
64	61	889
65	62	879
66	62	869
67	63	863
68	63	857
69	64	852
70	64	847
71	65	842
72	65	836
73	66	829
74	66	825
75	67	817
76	67	811
77	68	808
78	68	803
79	69	800
80	70	799
81	70	793
82	71	786
83	71	781
84	71	774
85	72	771
86	73	768
87	73	764
88	74	761
89	74	754
90	75	751
91	75	746
92	76	743
93	76	740
94	77	737
95	77	733
96	78	729
97	78	724
98	79	721
99	79	718
100	80	713
101	80	711
102	81	709
103	82	706
104	82	703
105	83	701
106	85	711
107	85	706
108	86	704
109	86	701
110	87	697
111	87	694
112	88	691
113	88	689
114	89	685
115	89	683
116	90	681
117	90	679
118	91	676
119	92	674
120	92	672
121	93	670
122	93	667
123	94	665
124	94	661
125	95	659
126	95	656
127	96	654
128	96	651
129	96	647
130	97	646
131	98	645
132	98	644
133	99	641
134	99	639
135	100	637
136	100	636
137	101	634
138	102	633
139	102	629
140	103	628
141	103	625
142	103	622
143	104	619
144	104	617
145	105	615
146	105	613
147	106	612
148	106	610
149	107	608
150	107	606
151	108	605
152	108	603
153	109	601
154	110	600
155	110	598
156	110	595
157	111	593
158	111	592
159	112	590
160	112	588
161	113	586
162	113	583
163	114	581
164	114	579
165	115	579
166	115	577
167	116	576
168	116	574
169	117	572
170	117	571
171	118	570
172	118	567
173	119	566
174	119	563
175	120	562
176	120	561
177	121	558
178	121	557
179	122	556
180	122	555
181	123	553
182	123	552
183	124	551
184	124	550
185	125	550
186	126	550
187	127	549
188	127	548
189	128	547
190	128	546
191	129	544
192	129	542
