iter	Logloss
0	0.690936027
1	0.6881262437
2	0.6854918356
3	0.6829979613
4	0.6806444588
5	0.6779212872
6	0.6753834243
7	0.6731454515
8	0.6707301005
9	0.6679481876
10	0.6658680593
11	0.6634006639
12	0.6612929591
13	0.6587310319
14	0.6564712543
15	0.6546101441
16	0.6523249667
17	0.6499748709
18	0.6474387812
19	0.6450288688
20	0.6427608833
21	0.6406581926
22	0.638496678
23	0.6364436437
24	0.6343191873
25	0.631726143
26	0.6295200813
27	0.6275265277
28	0.6254871643
29	0.6233877207
30	0.6210279511
31	0.6189708877
32	0.6169929375
33	0.6152154442
34	0.6131660625
35	0.6114250163
36	0.6094573654
37	0.6070661311
38	0.6054560351
39	0.6033569296
40	0.6015688408
41	0.5996347375
42	0.5976853653
43	0.595444485
44	0.593474086
45	0.5914637822
46	0.5895666198
47	0.5875188497
48	0.585636014
49	0.5836217481
50	0.5816601466
51	0.5801292087
52	0.5782528628
53	0.576364929
54	0.5745858398
55	0.5729766244
56	0.5713268465
57	0.5700079256
58	0.5679003245
59	0.5655725198
60	0.5638441554
61	0.5618236911
62	0.5600431171
63	0.5584120917
64	0.5568026401
65	0.5551303989
66	0.553377779
67	0.5522400818
68	0.5504224421
69	0.5486090503
70	0.5469283178
71	0.545074344
72	0.5435306266
73	0.5420477194
74	0.5399974002
75	0.5384942834
76	0.5368746979
77	0.5354199822
78	0.5340776983
79	0.5322679012
80	0.5305751851
81	0.5286604047
82	0.5268979788
83	0.5253831169
84	0.5237626195
85	0.5218292514
86	0.520181191
87	0.5184534222
88	0.5167925115
89	0.5158695047
90	0.5142309595
91	0.5125325474
92	0.5110592554
93	0.5095202821
94	0.5080063664
95	0.5064313157
96	0.5045405467
97	0.5033332333
98	0.5017623869
99	0.5003357505
100	0.4990111718
101	0.4977257548
102	0.4961664092
103	0.4944306809
104	0.493014706
105	0.4915516802
106	0.4901633434
107	0.4889026801
108	0.4878972166
109	0.4861831459
110	0.4851443522
111	0.4834723076
112	0.4826027929
113	0.4812270668
114	0.4796375221
115	0.478323762
